"search-number","evaluation","a*","b*","c*","d*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"4","16","16","15","3","-3","1","196.16520057846446","2","-1368.3402534412471"
"4","18","16","8","3","-3","1","244.38953945958315","2","-197.50948013951438"
"4","21","16","-9","-13","-3","1","701.8602551155898","2","-843.3308815759578"
"5","1","-12","11","6","-9","1","-59.805093691766274","2","-787.4544086295336"
"5","16","-13","11","-6","-9","1","187.86123686040878","2","-1584.2765127793084"
"6","1","7","-23","7","-8","1","-2162.595580712844","2","-1412.8839250307133"
"6","2","7","21","7","-8","1","-873.7549231613341","2","-1703.341687066355"
"6","5","7","10","7","-7","1","400.98230323763676","2","-1244.4244244482777"
"6","9","7","10","0","-6","1","934.9668022554015","2","-1217.1860411004886"
"6","34","0","10","3","-6","1","1097.8132218487954","2","-106.86260763745744"
"7","1","26","-22","-29","-31","1","-6232.81612050603","2","-8503.430005130002"
"7","3","26","-22","-29","-3","1","-3709.50818259434","2","-4390.780589680742"
"7","5","27","-22","-29","2","1","-3365.707741234467","2","-3942.7670241963688"
"7","6","5","-22","-20","2","1","-2846.2381832237234","2","-2041.6919734930332"
"7","7","5","-22","-20","5","1","-1944.6475617255223","2","-2323.107134771993"
"7","12","5","-13","-20","5","1","-1699.5365716023744","2","-1686.0675691411388"
"7","16","10","-17","19","5","1","-1520.0338616703561","2","-2271.3940452851916"
"7","21","10","-1","19","-5","1","-726.2719767193053","2","-1460.6899036154532"
"7","28","-11","0","19","-5","1","-495.42517287101055","2","-1337.0009159587207"
"8","1","-15","-32","8","-20","1","-4194.878591488048","2","-3409.782017065173"
"8","2","-15","-32","8","-19","1","-2935.199530085673","2","-4179.336767959721"
"8","5","-10","-32","7","-19","1","-2897.0695658598243","2","-3545.618141860965"
"8","11","9","-19","7","-19","1","-2288.2879426820577","2","-2282.026806453214"
"8","13","9","-2","7","18","1","-1537.1995971133856","2","-2489.270092558564"
"8","14","9","-2","0","18","1","-1202.791188356127","2","-966.4374737187209"
"8","19","-10","-2","0","18","1","-851.7664197945028","2","-1445.3192530741912"
"8","28","-24","-2","0","0","1","-293.92909897370424","2","-310.23521711291346"
"8","29","-24","-2","0","3","1","-191.56823075676107","2","-1059.8384360005782"
"8","31","-27","-2","0","3","1","-36.626633001884784","2","-1177.9051751823858"
"8","39","-26","-2","0","3","1","749.8174049423958","2","-307.0558954309846"
"9","1","22","-3","7","-31","1","-5025.5444239061635","2","-4237.719933144284"
"9","2","8","-3","7","-20","1","-2744.618505856477","2","-1912.6692668242076"
"9","3","8","-3","-8","-20","1","-1909.9158080541329","2","-1999.6782531885874"
"9","4","8","-3","-1","-20","1","-1420.386599921414","2","-1851.5698237947204"
"9","16","8","-2","-1","-20","1","-602.7387815091636","2","-2575.860745310107"
"9","20","8","1","-1","-20","1","-392.7688970069041","2","-1633.5923622868945"
"9","33","8","1","1","-20","1","638.1782807822783","2","-1928.9609462005933"
